,latitude,longitude,timestamp,value,measurement,retrieved_at
134,51.5,5.5,2025-07-19T09:00:00Z,26.8,t_2m:C,2025-07-20T16:38:17Z
135,51.5,5.5,2025-07-19T10:00:00Z,28.3,t_2m:C,2025-07-20T16:38:17Z
136,51.5,5.5,2025-07-19T11:00:00Z,29.8,t_2m:C,2025-07-20T16:38:17Z
137,51.5,5.5,2025-07-19T12:00:00Z,30.4,t_2m:C,2025-07-20T16:38:17Z
138,51.5,5.5,2025-07-19T13:00:00Z,30.5,t_2m:C,2025-07-20T16:38:17Z
139,51.5,5.5,2025-07-19T14:00:00Z,31.3,t_2m:C,2025-07-20T16:38:17Z
140,51.5,5.5,2025-07-19T15:00:00Z,31.7,t_2m:C,2025-07-20T16:38:17Z
141,51.5,5.5,2025-07-19T16:00:00Z,29.1,t_2m:C,2025-07-20T16:38:17Z
142,51.5,5.5,2025-07-19T17:00:00Z,27.9,t_2m:C,2025-07-20T16:38:17Z
143,51.5,5.5,2025-07-19T18:00:00Z,27.4,t_2m:C,2025-07-20T16:38:17Z
144,51.5,5.5,2025-07-19T19:00:00Z,23.7,t_2m:C,2025-07-20T16:38:17Z
145,51.5,5.5,2025-07-19T20:00:00Z,22.9,t_2m:C,2025-07-20T16:38:17Z
146,51.5,5.5,2025-07-19T21:00:00Z,21.3,t_2m:C,2025-07-20T16:38:17Z
147,51.5,5.5,2025-07-19T22:00:00Z,20.9,t_2m:C,2025-07-20T16:38:17Z
148,51.5,5.5,2025-07-19T23:00:00Z,20.5,t_2m:C,2025-07-20T16:38:17Z
149,51.5,5.5,2025-07-20T00:00:00Z,20.2,t_2m:C,2025-07-20T16:38:17Z
150,51.7,4.5,2025-07-19T00:00:00Z,19.4,t_2m:C,2025-07-20T16:38:17Z
151,51.7,4.5,2025-07-19T01:00:00Z,18.6,t_2m:C,2025-07-20T16:38:17Z
152,51.7,4.5,2025-07-19T02:00:00Z,17.9,t_2m:C,2025-07-20T16:38:17Z
153,51.7,4.5,2025-07-19T03:00:00Z,17.4,t_2m:C,2025-07-20T16:38:17Z
154,51.7,4.5,2025-07-19T04:00:00Z,17.2,t_2m:C,2025-07-20T16:38:17Z
155,51.7,4.5,2025-07-19T05:00:00Z,18.0,t_2m:C,2025-07-20T16:38:17Z
156,51.7,4.5,2025-07-19T06:00:00Z,18.9,t_2m:C,2025-07-20T16:38:17Z
157,51.7,4.5,2025-07-19T07:00:00Z,21.1,t_2m:C,2025-07-20T16:38:17Z
158,51.7,4.5,2025-07-19T08:00:00Z,22.9,t_2m:C,2025-07-20T16:38:17Z
159,51.7,4.5,2025-07-19T09:00:00Z,25.1,t_2m:C,2025-07-20T16:38:17Z
